productID,product_name,brandID,original_price,discount,price,discount_percent,rating,review_count,quantity_sold,shopID,dateID
158880691,Điện thoại Samsung Galaxy A03 (3GB/32GB) - Hàng chính hãng,18802,2990000,681000,2309000,23,4.5,8,27,162514,1478
158895857,Điện thoại Vivo Y33s (8GB/128GB) - Hàng chính hãng,52232,5990000,170000,5820000,3,5,1,1,162514,1478
158959656,Điện Thoại Di Động OPPO A55 (4G+64G) - Hàng Chính Hãng,25643,3912000,0,3912000,0,0,0,0,11119,1625
159110705,Điện thoại itel Vision 1 Pro L6502 (2GB/32GB) - Hàng chính hãng,111461,2590000,1200000,1390000,46,5,5,8,179232,1479
159725951,Điện thoại Samsung Galaxy A03 (3GB/32GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,18802,3500000,0,3500000,0,0,0,1,11119,1480
159853930,Điện Thoại Samsung Galaxy S21 FE 5G 8GB/128GB - Hàng Chính Hãng,18802,12900000,3551000,9349000,28,0,0,0,11119,1482
159887168,Điện Thoại Galaxy S21 FE 5G RAM 8GB - Hàng chính hãng chưa active,18802,15000000,5651000,9349000,38,0,0,0,11119,1485
159887172,Điện Thoại Galaxy Z Flip3 5G 8GB/256GB - Hàng chính hãng chưa active,18802,22450000,0,22450000,0,0,0,1,261128,1482
159887209,Điện Thoại Galaxy S21 FE 5G RAM 6GB/128GB - Hàng chính hãng chưa active,18802,15000000,6249000,8751000,42,0,0,0,11119,1482
159887243,Điện Thoại Galaxy Z Flip3 5G 8GB/128GB,18802,22250000,0,22250000,0,5,18,36,261128,1482
159887246,Điện Thoại Galaxy Z Fold3 5G 256GB - Hàng chính hãng chưa active,18802,34950000,0,34950000,0,0,0,0,261128,1485
160303941,Điện thoại Nokia C20 (2GB/16GB) - Hàng chính hãng,19673,2290000,631000,1659000,28,3,2,3,162514,1485
160797086,Điện Thoại Vivo Y33s 8GB/128GB - Hàng Chính Hãng,52232,5999000,560000,5439000,9,4.7,3,8,29952,1488
160801738,Điện thoại Xiaomi Redmi Note 11 (4GB/64GB) - Hàng chính hãng,25422,4390000,0,4390000,0,0,0,0,34716,1489
160801751,Điện thoại Xiaomi Redmi Note 11 (4GB/128GB),25422,4990000,661000,4329000,13,4.8,12,36,162514,1488
160819119,Điện Thoại Xiaomi Redmi Note 11 4GB/128GB - Hàng Chính Hãng,25422,4790000,0,4790000,0,0,0,0,34716,1489
160819279,Điện Thoại Xiaomi Redmi Note 11 4GB/64GB - Hàng Chính Hãng,25422,4716000,0,4716000,0,0,0,0,11119,1489
161158099,Điện Thoại ZTE Blade A51 3GB l 64GB - Hàng Chính Hãng,49994,2690000,0,2690000,0,5,2,2,259709,1500
161178498,Điện Thoại ZTE Blade A31 Plus 2GB l 32GB - Hàng Chính Hãng,49994,1990000,0,1990000,0,5,1,4,259709,1501
162033655,Điện Thoại Vivo Y15s 3GB/32GB - Hàng Chính Hãng,52232,3690000,801000,2889000,22,5,2,6,29952,1506
162473705,Điện thoại Xiaomi Redmi Note 11 Hàng chính hãng 4GB / 64GB | Pin 5000mAh | Snapdragon 680 | Sạc nhanh 33W,25422,4716000,0,4716000,0,0,0,0,11119,1508
162583902,Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB),18802,25990000,7500000,18490000,29,5,22,50,1,1508
162583980,Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB),18802,27490000,7500000,19990000,27,4.6,17,55,1,1508
162593114,Điện thoại Samsung Galaxy S22 Ultra 5G (8GB/128GB),18802,30990000,10000000,20990000,32,4.5,21,53,1,1509
162593136,Điện thoại Samsung Galaxy S22 Ultra 5G (12GB/256GB),18802,33990000,10000000,23990000,29,4.6,28,211,1,1509
162593187,Điện thoại Samsung Galaxy S22 Ultra 5G (12GB/512GB),18802,36990000,10000000,26990000,27,4.8,22,38,1,1509
162728553,Điện thoại Xiaomi Redmi Note 11 (4GB/64GB)  - Hàng chính hãng,25422,4716000,0,4716000,0,0,0,0,11119,1509
163039754,Điện thoại Xiaomi Redmi Note 11 (4GB/128GB) - Hàng chính hãng,25422,4716000,0,4716000,0,5,1,1,11119,1510
163318271,Điện thoại Samsung Galaxy S21 FE 5G (6GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,18802,15000000,6249000,8751000,42,0,0,0,11119,1513
164444757,Điện thoại OPPO A55 4GB/64GB Đen- Hàng Chính Hãng,25643,3912000,0,3912000,0,0,0,0,11119,1520
